"ASIN","Title","Price","Rating","Image","Ad_Type"
"B0FRM3G9JF","HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop","₹68,323","4.1","https://m.media-amazon.com/images/I/71IdAMTOjZL._AC_UY218_.jpg","Ad"
"B0GR64G4H6","Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo","₹65,700","4.7","https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg","Ad"
"B0FM3C4L2F","ASUS TUF A15 (2025), AMD Ryzen 7 7445HS,RTX 3050-4GB,75W TGP,16GB DDR5(Upgradeable Upto 64GB) 512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,Windows 11,Graphite Black,2.3 Kg FA506NCG-HN199W, Gaming Laptop","₹73,990","4.3","https://m.media-amazon.com/images/I/71K4CpdfmHL._AC_UY218_.jpg","Organic"
"B0F4R5W1NC","HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","₹50,150","4.2","https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg","Organic"
"B0DG2GCTD7","acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","₹45,990","4.0","https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg","Organic"
"B0FJYJP1L6","HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","₹89,990","4.2","https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg","Organic"
"B0FMRSJK1L","ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office 24, M365 Basic (1Y), Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop","₹51,990","4.2","https://m.media-amazon.com/images/I/61LN3yfrpfL._AC_UY218_.jpg","Organic"
"B0CL7CMTXS","Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹41,999","4.0","https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg","Organic"
"B0CY2PLQ8N","HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop","₹54,990","4.0","https://m.media-amazon.com/images/I/71qeL9SvpeL._AC_UY218_.jpg","Organic"
"B0CRKX3JRT","Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop","₹78,990","4.0","https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UY218_.jpg","Organic"
"B0GR1LB81D","Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 40‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 2TB SSD Storage; Space Black","₹4,99,900","4.3","https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UY218_.jpg","Ad"
"B0FFM8M9B5","Primebook 2 Pro (2026) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","₹24,990","4.3","https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UY218_.jpg","Ad"
"B07FLHBMXY","HP Pavilion Plus, Intel Core i5-1335U-13th Gen Laptop, (16GB LPDDR5x,512GB SSD),IPS, 300 nits, 14''(35.6cm) 2K,Win 11, M365 Basic(1yr), Office Home 24, Silver,1.38kg, 5MP Camera w/Shutter, ew0107TU","₹64,990","3.7","https://m.media-amazon.com/images/I/61s8J1vGi0L._AC_UY218_.jpg","Organic"
"B0G3B47HZF","Lenovo LOQ 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB/1Yr ADP Free/MSO 24/Grey/2.3Kg), 83DV01A5IN","₹1,09,000","4.7","https://m.media-amazon.com/images/I/71Chav1l8DL._AC_UY218_.jpg","Organic"
"B0FMFPW419","HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5070, 24GB DDR5(Upgradeable) 1TB SSD, 240Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0182AX, RGB, AI Gaming Laptop","₹1,80,990","4.7","https://m.media-amazon.com/images/I/71nNdnlAs2L._AC_UY218_.jpg","Organic"
